lgaCode,lCode,schCode,progID,schName,id
2,660742704,21,1,"ETITI-AMAKA PRIMARY SCHOOL, UBULU-UNOR",1420
2,660742704,22,1,"UBULU ADULT EDUCATION CENTRE, UBULU-UKU",1421
2,660742704,23,1,"IDEGWU PRIMARY SCHOOL, UBULU-UKU",1422
2,660742704,24,1,"IGWE PRIMARY SCHOOL, UKWU-0BA",1423
2,660742704,25,1,"IJEDINKA PRIMARY SCHOOL, ANIAGBALA UBULU-UKU",1424
2,660742704,26,1,"IKELIKE MODEL PRIMARY SCHOOL, OGWASHI-UKU",1425
2,660742704,27,1,"ADULT EDUCATION CENTRE, EGBADU-AKAH",1426
2,660742704,28,1,"IKELIKE MODEL PRIMARY SCHOOL, OLUKU",1427
2,660742704,29,1,"ILOAKWU PRIMARY SCHOOL, UBULU-UKU",1428
2,660742704,30,1,"ILLOH PRIMARY SCHOOL, EGBUDU-AKAH",1429
2,660742704,31,1,"ISHE PRIMARY SCHOOL, EWULU",1430
2,660742704,32,1,"ISHO PRIMARY SCHOOL, UBULU-UKU",1431
2,660742704,33,1,"ISIANWAI PRIMARY SCHOOL, OTULU",1432
2,660742704,34,1,"ADULT EDUCATION CENTRE, OTULU",1433
2,660742704,35,1,"ISIENUGWU PRIMARY SCHOOL, OTULU",1434
2,660742704,36,1,"ISIKITI PRIMARY SCHOOL, ISHEAGU",1435
2,660742704,37,1,"MGBALAMGBA PRIMARY SCHOOL I, ISHEAGU",1436
2,660742704,38,1,"NGWU PRIMARY SCHOOL I, OGWASHI-UKU",1437
2,660742704,39,1,"NNABUWA PRIMARY SCHOOL, OGWASHI-UKU",1438
2,660742704,40,1,"NWANOLI PRIMARY SCHOOL, UBULU-UKU",1439
2,660742704,41,1,"NWAEZE PRIMARY SCHOOL, OGWASHI-UKU",1440
2,660742704,42,1,"OBI-EGBUDU PRIMARY SCHOOL, EGBUDU-AKAH",1441
2,660742704,43,1,"OBI-EZEAMAKA PRIMARY SCHOOL, NSUKWA",1442
2,660742704,44,1,"OBI-NZEKWUE PRIMARY SCHOOL, OGWASHI-UKU",1443
2,660742704,45,1,"OGBEANI PRIMARY SCHOOL, UBULU-UKU",1444
2,660742704,46,1,"OGIDI PRIMARY SCHOOL, NSUKWA",1445
2,660742704,47,1,"OGOMA PRIMARY SCHOOL, OGWASHI-UKU",1446
2,660742704,48,1,"OMEZI PRIMARY SCHOOL, OLLOH OGWASHI-UKU",1447
2,660742704,49,1,"ONIHE PRIMARY SCHOOL, OGWASHI-UKU",1448
2,660742704,50,1,"UBULU PRIMARY SCHOOL, UBULU-UKU",1449
2,660742704,51,1,"UKWUDIOGOR PRIMARY SCHOOL I, EDO OGWASHI-UKU",1450
2,660742704,52,1,"ULOGWE PRIMARY SCHOOL, UMUTE",1451
